Created 05.08.2024 13:08:58
05.08.2024 13:09:12: Stoer-Wagner Algorithm graph cut (vertices: 40) performed in 5523ms (fetch users from database in 4393ms, build graph in 1011ms, cut graph in 24ms, save data to database in 93ms)
05.08.2024 13:22:50: Stoer-Wagner Algorithm graph cut (vertices: 28) performed in 3600ms (fetch users from database in 2991ms, build graph in 505ms, cut graph in 10ms, save data to database in 92ms)
05.08.2024 13:33:59: Stoer-Wagner Algorithm graph cut (vertices: 212) performed in 61491ms (fetch users from database in 4972ms, build graph in 26948ms, cut graph in 29533ms, save data to database in 37ms)
07.08.2024 12:21:41: Stoer-Wagner Algorithm graph cut (vertices: 20) performed in 6231ms (fetch users from database in 5917ms, build graph in 280ms, cut graph in 7ms, save data to database in 24ms)
07.08.2024 12:42:54: Stoer-Wagner Algorithm graph cut (vertices: 127) performed in 169474ms (fetch users from database in 9ms, build graph in 167002ms, cut graph in 2442ms, save data to database in 19ms)
07.08.2024 13:02:00: Stoer-Wagner Algorithm graph cut (vertices: 212) performed in 115855ms (fetch users from database in 13ms, build graph in 80902ms, cut graph in 34773ms, save data to database in 166ms)
07.08.2024 16:39:19: Split9 Stoer-Wagner Algorithm graph cut (vertices: 212) performed in 54333ms (fetch users from database in 5ms, build graph in 17306ms, cut graph in 36964ms, save data to database in 55ms)
07.08.2024 17:11:16: Split10 Stoer-Wagner Algorithm graph cut (vertices: 212) performed in 61572ms (fetch users from database in 105ms, build graph in 27578ms, cut graph in 33708ms, save data to database in 179ms)
07.08.2024 17:18:48: Split11 Stoer-Wagner Algorithm graph cut (vertices: 212) performed in 74551ms (fetch users from database in 11ms, build graph in 27706ms, cut graph in 46755ms, save data to database in 77ms)
08.08.2024 14:03:17: Split12 Stoer-Wagner Algorithm graph cut (vertices: 512) performed in 3529496ms (fetch users from database in 22214ms, build graph in 228824ms, cut graph in 3276028ms, save data to database in 210ms)
08.08.2024 14:06:51: Split13 Stoer-Wagner Algorithm graph cut (vertices: 253) performed in 107035ms (fetch users from database in 5ms, build graph in 23960ms, cut graph in 82999ms, save data to database in 69ms)
08.08.2024 14:13:06: Split14 Stoer-Wagner Algorithm graph cut (vertices: 253) performed in 106572ms (fetch users from database in 6ms, build graph in 22176ms, cut graph in 84369ms, save data to database in 19ms)
08.08.2024 14:53:12: Split15 Stoer-Wagner Algorithm graph cut (vertices: 253) performed in 106196ms (fetch users from database in 5ms, build graph in 21308ms, cut graph in 84863ms, save data to database in 18ms)
14.08.2024 14:19:14: Split16 Stoer-Wagner Algorithm (opt. db) graph cut (vertices: 253) performed in 104972ms (fetch users from database in 19ms, build graph in 23557ms, cut graph in 81325ms, save data to database in 69ms)
14.08.2024 15:06:37: Split17 Stoer-Wagner Algorithm (opt. db) graph cut (vertices: 253) performed in 102756ms (fetch users from database in 11ms, build graph in 22780ms, cut graph in 79918ms, save data to database in 45ms)
14.08.2024 15:54:06: Split18 Stoer-Wagner Algorithm (opt. db) graph cut (vertices: 512) performed in 2648717ms (fetch users from database in 12ms, build graph in 87535ms, cut graph in 2561105ms, save data to database in 64ms)
14.08.2024 16:44:38: Split19 Stoer-Wagner Algorithm (opt. db) graph cut (vertices: 512) performed in 2663063ms (fetch users from database in 6ms, build graph in 86632ms, cut graph in 2576361ms, save data to database in 62ms)
 19.08.2024 17:09:13: Split20 Stoer-Wagner Algorithm (opt. db, parallel) graph cut (vertices: 253) performed in 108835ms (fetch users from database in 5ms, build graph in 29544ms, cut graph in 79203ms, save data to database in 82ms)
19.08.2024 18:05:11: Split21 Stoer-Wagner Algorithm (opt. db, parallel) graph cut (vertices: 512) performed in 2626579ms (fetch users from database in 7ms, build graph in 93025ms, cut graph in 2533481ms, save data to database in 64ms)
20.08.2024 14:11:31: Split22 Stoer-Wagner Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 79589ms (fetch users from database in 16ms, build graph in 233ms, cut graph in 79292ms, save data to database in 46ms)
20.08.2024 14:58:40: Split23 Stoer-Wagner Algorithm (opt. db, parallel impr.) graph cut (vertices: 512) performed in 2558976ms (fetch users from database in 10ms, build graph in 467ms, cut graph in 2558447ms, save data to database in 51ms)
20.08.2024 15:46:05: Split24 Stoer-Wagner Algorithm (opt. db, parallel impr.) graph cut (vertices: 512) performed in 2563396ms (fetch users from database in 6ms, build graph in 432ms, cut graph in 2562918ms, save data to database in 39ms)
22.08.2024 13:54:35: Split25 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 321ms (fetch users from database in 5ms, build graph in 207ms, cut graph in 40ms, save data to database in 66ms)
22.08.2024 14:29:22: Split26 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 346ms (fetch users from database in 12ms, build graph in 254ms, cut graph in 38ms, save data to database in 39ms)
26.08.2024 12:30:59: Split27 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 313ms (fetch users from database in 9ms, build graph in 225ms, cut graph in 31ms, save data to database in 47ms)
26.08.2024 12:33:46: Split28 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 334ms (fetch users from database in 11ms, build graph in 253ms, cut graph in 38ms, save data to database in 29ms)
26.08.2024 12:39:18: Split29 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 208299ms (fetch users from database in 16ms, build graph in 283ms, cut graph in 207164ms, save data to database in 835ms)
26.08.2024 12:50:45: Split30 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 315ms (fetch users from database in 13ms, build graph in 219ms, cut graph in 29ms, save data to database in 52ms)
26.08.2024 13:48:59: Split31 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 343ms (fetch users from database in 15ms, build graph in 249ms, cut graph in 37ms, save data to database in 39ms)
26.08.2024 13:59:35: Split32 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 1402ms (fetch users from database in 12ms, build graph in 1318ms, cut graph in 41ms, save data to database in 29ms)
27.08.2024 16:19:42: Split33 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 335ms (fetch users from database in 5ms, build graph in 216ms, cut graph in 37ms, save data to database in 76ms)
27.08.2024 16:27:48: Split34 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 3970ms (fetch users from database in 13ms, build graph in 214ms, cut graph in 3712ms, save data to database in 30ms)
27.08.2024 16:37:26: Split35 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 3836ms (fetch users from database in 12ms, build graph in 226ms, cut graph in 3567ms, save data to database in 29ms)
03.09.2024 10:24:27: Split36 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 31518ms (fetch users from database in 5ms, build graph in 271ms, cut graph in 31179ms, save data to database in 61ms)
03.09.2024 10:35:27: Split37 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 314ms (fetch users from database in 11ms, build graph in 221ms, cut graph in 37ms, save data to database in 43ms)
03.09.2024 11:28:04: Split38 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 512) performed in 516ms (fetch users from database in 9ms, build graph in 396ms, cut graph in 87ms, save data to database in 22ms)
03.09.2024 11:28:47: Split39 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 512) performed in 1201ms (fetch users from database in 3ms, build graph in 408ms, cut graph in 756ms, save data to database in 33ms)
03.09.2024 11:29:44: Split40 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 282ms (fetch users from database in 3ms, build graph in 227ms, cut graph in 26ms, save data to database in 25ms)
03.09.2024 11:30:20: Split41 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 512) performed in 1355ms (fetch users from database in 2ms, build graph in 1230ms, cut graph in 99ms, save data to database in 22ms)
05.09.2024 10:36:42: Split42 Push-Relabel Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 349ms (fetch users from database in 15ms, build graph in 238ms, cut graph in 48ms, save data to database in 46ms)
05.09.2024 10:39:06: Split43 Related Groups (alternative) Algorithm (opt. db, parallel impr.) graph cut (vertices: 253) performed in 313ms (fetch users from database in 13ms, build graph in 227ms, cut graph in 41ms, save data to database in 29ms)
05.09.2024 11:06:03: Split44 Related Groups (alternative) Algorithm (opt. db, parallel impr.) graph cut (vertices: 267) performed in 71037ms (fetch users from database in 6ms, build graph in 247ms, cut graph in 70678ms, save data to database in 104ms)
05.09.2024 11:14:18: Split45 Related Groups (alternative) Algorithm (opt. db, parallel impr.) graph cut (vertices: 267) performed in 6409ms (fetch users from database in 16ms, build graph in 286ms, cut graph in 6002ms, save data to database in 103ms)
05.09.2024 11:36:15: Split46 Related Groups (alternative) Algorithm (opt. db, parallel impr.) graph cut (vertices: 267) performed in 6150ms (fetch users from database in 6ms, build graph in 264ms, cut graph in 5794ms, save data to database in 85ms)
